iter	RMSE
0	0.4150905023
1	0.3839733176
2	0.3580097619
3	0.3456318946
4	0.3277732204
5	0.2980202777
6	0.2756021252
7	0.2561236386
8	0.2381512193
9	0.2324731179
10	0.2206720393
11	0.2117573223
12	0.1972526421
13	0.1826580045
14	0.1752438792
15	0.1635041291
16	0.153636495
17	0.1445882134
18	0.1368827111
19	0.132402327
20	0.1234240765
21	0.1144056299
22	0.109216414
23	0.1066491137
24	0.1031989705
25	0.09983275191
26	0.0946894552
27	0.08969460177
28	0.08685818518
29	0.08447739458
30	0.08046225915
31	0.0768320502
32	0.07362447062
33	0.07022599441
34	0.06664129889
35	0.06393791675
36	0.06187287302
37	0.05974584874
38	0.0572923349
39	0.05538305724
40	0.05252352576
41	0.05131862931
42	0.04968756495
43	0.0472404416
44	0.0455156891
45	0.04456227597
46	0.04293894226
47	0.04207042147
48	0.04019861955
49	0.03938033547
50	0.03799624499
51	0.03725636019
52	0.03668106687
53	0.03524044446
54	0.03475703943
55	0.03363607109
56	0.03244727631
57	0.03189032443
58	0.03078613897
59	0.03038804255
60	0.0292377843
61	0.0281696883
62	0.02783565595
63	0.02708269559
64	0.026579324
65	0.02582677127
66	0.02499212971
67	0.02466518494
68	0.02406868521
69	0.02343722121
70	0.02318337649
71	0.02270537965
72	0.0225634002
73	0.02192228671
74	0.02153577203
75	0.02104783938
76	0.02065395212
77	0.02006191767
78	0.01988673645
79	0.01973747669
80	0.01918935145
81	0.01905548273
82	0.01858931064
83	0.01790166905
84	0.01776788638
85	0.01724168557
86	0.01711519682
87	0.01673871129
88	0.01648136325
89	0.01637336921
90	0.01590152924
91	0.01580615919
92	0.01539972765
93	0.01518361719
94	0.01507815429
95	0.01492278879
96	0.01474956822
97	0.01469850054
98	0.01443544092
99	0.01409693236
100	0.01377399815
101	0.01367899011
102	0.0135205111
103	0.01341878953
104	0.01307278066
105	0.01276010943
106	0.01269771386
107	0.01247772848
108	0.01237426834
109	0.01230501342
110	0.01216800394
111	0.01195608657
112	0.01174022169
113	0.01156318247
114	0.01148909308
115	0.01123898384
116	0.01116841467
117	0.01095325087
118	0.01078714192
119	0.01067989485
120	0.01047503356
121	0.01026069939
122	0.01022220965
123	0.01012411935
124	0.01005831556
125	0.009972493897
126	0.009830077835
127	0.009678879055
128	0.00958559338
129	0.009364437755
130	0.009346972624
131	0.009248438538
132	0.009197011939
133	0.009063167692
134	0.008985036773
135	0.008869596557
136	0.008788979298
137	0.008712081884
138	0.008583645135
139	0.008438700238
140	0.008376728926
141	0.008268023815
142	0.008182446376
143	0.008059893077
144	0.008017778412
145	0.007920984095
146	0.007845688938
147	0.007793235334
148	0.007675470089
149	0.007597772854
150	0.007494834834
151	0.007419876928
152	0.007314578057
153	0.007210469441
154	0.007176736827
155	0.007051130826
156	0.006944885089
157	0.006874806404
158	0.006756631849
159	0.006711381167
160	0.006625802346
161	0.006616297607
162	0.006566035796
163	0.006507990024
164	0.006454341425
165	0.006420987262
166	0.00638104592
167	0.006311600059
168	0.006260309686
169	0.006205650335
170	0.006135608327
171	0.006091770875
172	0.006043667692
173	0.006015956952
174	0.005978754656
175	0.005951936297
176	0.005909859286
177	0.00586347868
178	0.005809806911
179	0.005769326723
180	0.00574979108
181	0.005670459795
182	0.005620822689
183	0.005586644473
184	0.005530616999
185	0.005512647978
186	0.005481977999
187	0.005375705799
188	0.005336555594
189	0.005300175414
190	0.00528219967
191	0.005245670596
192	0.00519676532
193	0.005160480195
194	0.00514604431
195	0.005068208251
196	0.005009628311
197	0.004942397732
198	0.004918388072
199	0.004904550521
200	0.004859122762
201	0.00481373734
202	0.004774904389
203	0.004743666774
204	0.004734937623
205	0.004693950274
206	0.004655598068
207	0.00460744985
208	0.00457921372
209	0.004561313835
210	0.004514752152
211	0.004483001921
212	0.004446884551
213	0.004417616189
214	0.004374249884
215	0.004332362262
216	0.004304060108
217	0.004238755779
218	0.004209981485
219	0.004200680411
220	0.004178741915
221	0.004169320694
222	0.004140008424
223	0.004105778676
224	0.004046660428
225	0.004031039478
226	0.003980600203
227	0.003947408008
228	0.003938790233
229	0.003931815778
230	0.003897672783
231	0.0038919241
232	0.003861263404
233	0.003848692743
234	0.003804029943
235	0.003791823516
