mse,rmse,r2,iterations,learning_rate,depth,l2_leaf_reg
0.21587915551948375,0.4646279753948139,0.8940745963607843,94.0,0.23571800547917576,3.0,3.8723599581775257
0.10083588234625951,0.3175466616833808,0.9701866009479286,100.0,0.2804052682298875,7.0,4.878028799010506
0.3587977955062822,0.5989973251244802,0.8009370169565904,89.0,0.22818865745810188,4.0,1.739722638973984
0.1844777841076536,0.4295087706993346,0.9007483853986981,100.0,0.292736544787487,7.0,3.2310666246187294
0.26230391235893524,0.512156140604538,0.8817891752485524,98.0,0.2729150787923739,4.0,1.2406216206874792
0.18780766473279706,0.4333678169093744,0.9261457928992864,98.0,0.2563189842705253,5.0,1.0960130271809674
0.16873035066867564,0.4107680010281663,0.945882018228051,100.0,0.2598396727335851,8.0,1.4270342293380605
0.11698906991092103,0.3420366499527807,0.9553222786213629,93.0,0.2493334719569475,7.0,2.361955469344718
0.14293326751907867,0.3780651630593312,0.9397782852281072,100.0,0.1030822593764717,8.0,1.5091432931167188
0.13689000013208585,0.3699864864182013,0.9515763777957862,86.0,0.26811723284104827,5.0,1.864120074333465
0.09279222095295453,0.30461815598049063,0.9697546238743942,74.0,0.2631318590690221,7.0,1.641523223264186
0.14561687198589685,0.38159778823506935,0.9651594708240895,74.0,0.26181288227620375,4.0,1.4422540975979454
0.1646164911887242,0.4057295788930408,0.9350867541771267,74.0,0.29868495873525425,7.0,2.289365136543303
0.09973487452203769,0.3158082876082224,0.9654053685357352,95.0,0.2187478889657062,7.0,1.0768673897868304
0.26815314028954146,0.517835051236918,0.8571400071695051,95.0,0.18343270070961903,6.0,1.0298838675352853
0.17360744628509772,0.41666226885224167,0.9289753651389806,85.0,0.2269477780734552,6.0,1.7579482640035486
0.12783987284395992,0.3575470218642017,0.9580588473772201,79.0,0.23221042584448637,6.0,1.7261820165523432
0.12261637247475186,0.3501662069285839,0.9541537440907651,76.0,0.18663007011101224,4.0,1.6000729451163842
0.14766264316107275,0.38426897241525076,0.9246955097058907,84.0,0.18237743058252484,8.0,1.1593727509483198
0.13290482729891545,0.3645611434298991,0.9532328778362755,84.0,0.13986624681136198,7.0,1.4837339440867137
0.27872554136455663,0.5279446385413499,0.8322240968960201,100.0,0.23892557680269402,4.0,1.2028059237452475
0.0982439880467023,0.3134389702106333,0.9708815545320538,99.0,0.23751263824479318,6.0,2.3464746021302245
0.23720473415704185,0.487036686664405,0.880490909269454,69.0,0.28874327905896335,3.0,3.625005920572411
0.07325346274156139,0.2706537691249863,0.9834568563139333,87.0,0.2510707630900065,8.0,1.354350029871005
0.11046083638721427,0.33235648991288597,0.979875451025002,75.0,0.27040114451529834,7.0,1.0513259654650335
0.09828439762167783,0.31350342521522445,0.9714043879279295,89.0,0.21964688126070872,7.0,1.8508489337481175
0.2716116462306628,0.5211637422448561,0.8474604850808014,63.0,0.2316441909720131,7.0,1.1080628625000344
0.13054747477894132,0.361313540818693,0.9574667602970373,92.0,0.28998374361668866,6.0,2.681663160436324
0.11874738246628305,0.3445974208642355,0.9497468525888626,98.0,0.19666459914818962,7.0,1.9096261299769033
0.12766447229338165,0.35730165447893136,0.9423071995089282,81.0,0.23838942092723914,4.0,1.3124486389525944
0.1454016221464467,0.38131564634361215,0.9507136621502917,94.0,0.2196763860532558,7.0,4.240674660644489
0.18842268744150603,0.43407682205055137,0.9005442594651566,62.0,0.29023266365835787,4.0,2.4056308491172556
0.17281126122571316,0.4157057387452249,0.9411501585696955,89.0,0.2934796755270483,7.0,1.8268363032104435
0.13804448444052175,0.3715433816400472,0.9426808815400286,60.0,0.25420620156892415,8.0,1.0171922653811873
0.20049046337959872,0.4477616144552799,0.8939049249373682,87.0,0.2613152968020989,7.0,2.643975283358281
0.13595150519260543,0.3687160224245828,0.9609381715759164,80.0,0.2967669915865561,5.0,1.2870011377030877
0.12929531534274805,0.3595765778561613,0.9635360912788313,78.0,0.19719442306659737,7.0,1.1583273178851798
0.1014363256851308,0.3184906995268948,0.9611088341216077,99.0,0.15122992924202472,8.0,1.2109989673388042
0.12343867896701544,0.351338410890434,0.9547570627951731,45.0,0.251944479842293,8.0,1.176701107464356
0.15454380852291968,0.393120603025229,0.9253011565401436,84.0,0.15843595305682964,8.0,1.0374397143889627
0.20053757041227618,0.44781421416953276,0.9302771463625691,100.0,0.2649983263037928,8.0,3.9822282604141144
0.12754249119776823,0.35713091604867847,0.9715832613394735,100.0,0.253856032654712,5.0,1.266670786445523
