a,s,d,f,g,h,j,j,t,y
1,276,37,10.6,0.773,1.45,75.4,20.6,18.25174825,0.4155598
1,276,37,10.6,0.773,1.45,75.4,20.6,20.22977023,0.3947056
1,276,37,10.6,0.773,1.45,75.4,20.6,25.17482517,0.3835756
1,276,37,10.6,0.773,1.45,75.4,20.6,30.20979021,0.3879894
1,276,37,10.6,0.773,1.45,75.4,20.6,35.15484515,0.4227533
1,276,37,10.6,0.773,1.45,75.4,20.6,40.18981019,0.4794522
1,276,37,10.6,0.773,1.45,75.4,20.6,45.22477522,0.5314542
1,276,37,10.6,0.773,1.45,75.4,20.6,50.16983017,0.6166832
1,276,37,10.6,0.773,1.45,75.4,20.6,55.11488511,0.7114984
1,276,37,10.6,0.773,1.45,75.4,20.6,60.14985015,0.8303375
1,276,37,10.6,0.773,1.45,75.4,20.6,65.09490509,0.9914556
1,276,37,10.6,0.773,1.45,75.4,20.6,70.12987013,1.2181879
1,276,37,10.6,0.773,1.45,75.4,20.6,75.16483516,1.4967707
1,276,37,10.6,0.773,1.45,75.4,20.6,80.10989011,1.9585085
0.7,575,53,11,0.76,1.67,80,20,7.432989691,0.2379513
0.7,575,53,11,0.76,1.67,80,20,8.298969072,0.2323119
0.7,575,53,11,0.76,1.67,80,20,9.092783505,0.2283657
0.7,575,53,11,0.76,1.67,80,20,9.958762887,0.2244866
0.7,575,53,11,0.76,1.67,80,20,10.89690722,0.2214308
0.7,575,53,11,0.76,1.67,80,20,11.90721649,0.2191663
0.7,575,53,11,0.76,1.67,80,20,12.98969072,0.2176695
0.7,575,53,11,0.76,1.67,80,20,13.92783505,0.216925
0.7,575,53,11,0.76,1.67,80,20,15.51546392,0.2154435
0.7,575,53,11,0.76,1.67,80,20,17.46391753,0.2154435
0.7,575,53,11,0.76,1.67,80,20,19.84536082,0.2221909
0.7,575,53,11,0.76,1.67,80,20,22.37113402,0.2291496
0.7,575,53,11,0.76,1.67,80,20,25.40206186,0.2355178
0.7,575,53,11,0.76,1.67,80,20,28.86597938,0.2445642
